epoch,train_loss,valid_loss,train_accuracy,valid_accuracy
0,2.3049074512003633,2.305340688439864,9.806,10.36
1,1.6411921148714812,1.3513950728162933,39.288,50.13
2,1.3176357108918602,1.1987935229192805,52.286,55.94
3,1.146099467564117,1.1058385206174246,58.824,61.47
4,1.0386182071302859,1.0727799693240394,62.976,62.57
5,0.958813202960412,0.9687792568267146,66.106,66.65
6,0.9060505416692065,0.8380244381820099,67.992,71.01
7,0.8569830323729064,0.8244453744043277,69.974,71.53
8,0.8151657573707268,0.7976140470444402,71.32,72.37
9,0.7862434060982121,0.740414823912367,72.552,74.0
10,0.7880657367084337,0.7139869611474532,72.522,74.93
11,0.7378975290166753,0.7278736731674098,74.29,74.88
12,0.7113374079889654,0.6943379538723186,75.142,75.91
13,0.7040111360799931,0.6858447179009642,75.53,76.44
14,0.6772712305226289,0.6386455222021176,76.368,77.79
15,0.7580535015486696,0.6472456783433503,73.524,77.73
16,0.662391781730725,0.6479413565955584,77.046,77.99
17,0.6331996666958265,0.5975865419906906,77.792,79.5
18,0.6250675666667617,0.6064636152756365,78.352,79.37
19,0.6525219793209944,0.5961943774283687,77.262,79.55
20,0.6124539341768036,0.6153514630432371,78.67,79.18
21,0.5922397437607846,0.5774392462983916,79.262,80.35
22,0.5782818384944935,0.616436011806319,79.748,79.63
23,0.5717860366529821,0.6092723728735235,80.076,79.97
24,0.554666959111343,0.5953428467995003,80.75,79.78
25,0.5505812578951307,0.5720557004590577,80.926,80.79
26,0.5569311864388263,0.5463284901048564,80.81,80.98
27,0.5374316975588689,0.5324476251873789,81.284,81.89
28,0.5234359377028083,0.5509658282316183,81.718,81.67
29,0.6379052899072847,0.831999819489974,78.382,75.6
30,0.5832880780367595,0.5246134332463711,79.986,82.19
31,0.47493313393934306,0.4834831896462018,83.212,83.5
32,0.4511662444190296,0.47552555799484253,84.102,83.7
33,0.4453213791865522,0.472365753182882,84.38,84.15
34,0.43613619046747837,0.4700144887725009,84.67,84.12
35,0.4251576492472378,0.462618922130971,84.97,84.33
36,0.4210149582542117,0.4632141056317317,85.022,84.26
37,0.4163481469654366,0.4573528338459474,85.364,84.46
38,0.4108344404136433,0.4522823138704783,85.482,84.75
39,0.4123153164030036,0.4526819126515449,85.446,84.59
40,0.4048936859802212,0.45365568297573283,85.768,84.77
41,0.40118520506812483,0.4518383792306803,85.996,84.76
42,0.39430907616377486,0.4513853799693192,86.108,84.54
43,0.39061735802904113,0.4492464359802536,86.178,84.94
44,0.38953637878608216,0.4477983752760706,86.384,84.74
45,0.38232167122309163,0.4462066668121121,86.544,84.95
46,0.38378942984601727,0.4439985482375833,86.42,84.85
47,0.38419876401991493,0.45292951053456415,86.488,84.81
48,0.37131522710213577,0.4447751511124116,86.92,85.07
49,0.3694966310430366,0.44338552219958244,86.924,85.09
50,0.368317423269267,0.44005121705652794,87.104,85.2
51,0.366490806688738,0.444489175571671,87.034,85.01
52,0.36518250825002674,0.4447330413739892,87.194,85.03
53,0.3597273266757541,0.4432395366551001,87.346,84.96
54,0.36636039511779384,0.44378747894794124,86.992,85.18
55,0.3638697977337386,0.44462783653524857,87.08,85.21
56,0.3642094102890595,0.4423760669895365,87.164,85.15
57,0.3623614940420746,0.44007882739924176,87.134,85.2
58,0.36497898540838297,0.4439486176530017,87.092,84.99
59,0.3588932101302745,0.4431887389738349,87.402,85.34
60,0.3623899227136846,0.440972485497028,87.322,85.17
61,0.3603302503714476,0.4442631772047357,87.336,85.05
62,0.3631620723039598,0.44240348041057587,87.108,85.21
63,0.36407326344791274,0.43962480184398117,87.264,85.39
64,0.3667510509338525,0.44428944191600706,87.192,85.11
65,0.3605131133819175,0.4424779477375972,87.28,85.14
66,0.36576952383188943,0.4407495241376418,87.062,85.31
67,0.36067535772043113,0.4403531841839416,87.454,85.34
68,0.36175220381573336,0.4412805372023884,87.154,85.24
69,0.36465531736231216,0.4398441061943392,86.92,85.16
70,0.3622260018992607,0.4440977058455914,87.158,85.23
71,0.3619883344377703,0.44033162484440624,87.428,85.34
72,0.3620667900042156,0.4432952937823308,87.352,85.21
73,0.3599892962161842,0.4478353869311417,87.238,85.08
74,0.3624664614420108,0.444202564373801,87.168,85.11
75,0.3599493914781629,0.4417954336238813,87.214,85.16
76,0.3635794047428214,0.4462731265569035,87.226,85.1
77,0.362232167435729,0.439774679043625,87.356,85.23
78,0.35829124624466957,0.44288685446298576,87.208,85.21
79,0.36413661323849805,0.4442385214416287,87.12,85.25
80,0.3620196234082322,0.4402530708267719,87.242,85.21
81,0.36126787362196255,0.44190973760206487,87.306,85.31
82,0.3588303513920216,0.44385628402233124,87.328,85.29
83,0.3612920555007427,0.4420413614451131,87.134,85.26
84,0.3629338409742126,0.4421743622309045,87.192,85.26
85,0.36249372446933364,0.4421019548479515,87.17,85.24
86,0.3624392946815247,0.440343695916707,87.228,85.32
87,0.3606896984302784,0.4411700907387311,87.452,85.21
88,0.3605606414168082,0.4433597339482247,87.22,85.22
89,0.36223917303945097,0.4454495733297324,87.306,85.21
90,0.3651160074545599,0.44139974762367296,87.132,85.22
91,0.3584291319103192,0.44101144505452505,87.42,85.16
92,0.36108566001248177,0.4407780449601668,87.37,85.17
93,0.3645468418250608,0.4413933423878271,87.16,85.18
94,0.3648406618925007,0.4421347062798995,87.242,85.18
95,0.36585150159838253,0.44202178471450565,87.022,85.23
96,0.3659859442954783,0.44360591112812864,87.006,85.2
97,0.36355597676371065,0.4425352889148495,87.292,85.22
98,0.3635175764332037,0.4411083510782145,87.09,85.26
99,0.35785819593902746,0.4421966128711459,87.254,85.2
100,0.36305690257598067,0.4435604865415187,87.25,85.1
